Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Porsche;1978;911;USED;Manual;6;6 cyl;3;3 L;6 cyl, 3 L;Rear;Leaded;145600;Medlow Bath, NSW;Europe;Convertible;2; 2 Doors;4; 4 Seats;97500
Holden;1984;HDT;USED;Manual;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Leaded;204733;Chipping Norton, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;148880
Bentley;1985;Mulsanne;USED;Automatic;8;8 cyl;6.8;6.8 L;8 cyl, 6.8 L;Rear;Leaded;93182;Laverton North, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;49990
Holden;1985;Commodore;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Leaded;259000;Saint Marys, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;69000
Jaguar;1986;Xjsc;USED;Automatic;12;12 cyl;5.3;5.3 L;12 cyl, 5.3 L;Rear;Unleaded;136947;Rushcutters Bay, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;69990
Mercedes-Benz;1989;560;USED;Automatic;8;8 cyl;5.5;5.5 L;8 cyl, 5.5 L;Rear;Unleaded;198000;Waitara, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;59999
Mercedes-Benz;1989;420;USED;Automatic;8;8 cyl;4.2;4.2 L;8 cyl, 4.2 L;Rear;Unleaded;170744;Thomastown, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;24990
Mercedes-Benz;1989;190;USED;Automatic;6;6 cyl;2.6;2.6 L;6 cyl, 2.6 L;Rear;Unleaded;150426;Moorooka, QLD;Europe;Sedan;4; 4 Doors;5; 5 Seats;19990
Honda;1990;Integra;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;233543;Liverpool, NSW;Asia;Coupe;2; 2 Doors;4; 4 Seats;4999
BMW;1990;M5;USED;Manual;6;6 cyl;3.5;3.5 L;6 cyl, 3.5 L;Rear;Premium;115198;Nunawading, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;71990
Ford;1990;Maverick;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;382463;Coopers Plains, QLD;North America;SUV;4; 4 Doors;7; 7 Seats;12900
Toyota;1991;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;450000;Mornington, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;29800
Holden;1992;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;161817;Braybrook, VIC;Oceania;Sedan;4; 4 Doors;5; 5 Seats;5488
Ford;1993;Falcon;USED;Manual;8;8 cyl;4.9;4.9 L;8 cyl, 4.9 L;Rear;Unleaded;409184;Fyshwick, ACT;North America;Sedan;4; 4 Doors;5; 5 Seats;67500
Toyota;1993;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;452920;Ferntree Gully, VIC;Asia;SUV;2; 2 Doors;6; 6 Seats;24999
Toyota;1993;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;413515;Westcourt, QLD;Asia;SUV;4; 4 Doors;8; 8 Seats;12999
Holden;1994;Commodore;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Unleaded;241870;Capalaba, QLD;Oceania;Ute / Tray;2; 2 Doors;3; 3 Seats;29990
Mazda;1994;E2000;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;183197;Arundel, QLD;Asia;Commercial;2; 2 Doors;3; 3 Seats;14999
Toyota;1994;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;331794;West Footscray, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;18999
Holden;1994;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;48835;Caringbah, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;16950
Nissan;1994;300ZX;USED;Manual;6;6 cyl;3;3 L;6 cyl, 3 L;Rear;Premium;171146;Richmond, NSW;Asia;Coupe;2; 2 Doors;4; 4 Seats;39980
Toyota;1995;Corolla;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;204004;Wentworthville, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;2995
Ford;1996;Fairmont;USED;Automatic;8;8 cyl;4.9;4.9 L;8 cyl, 4.9 L;Rear;Unleaded;432939;Minchinbury, NSW;North America;Sedan;4; 4 Doors;5; 5 Seats;7995
Ford;1996;Courier;USED;Automatic;4;4 cyl;2.6;2.6 L;4 cyl, 2.6 L;Rear;Unleaded;393675;Chester Hill, NSW;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;3499
Toyota;1996;Corolla;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;159657;Mansfield, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;8888
Toyota;1996;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;386381;Warrenheip, AU-VIC;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;22000
Holden;1996;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;328528;Hoppers Crossing, VIC;Oceania;Wagon;4; 4 Doors;5; 5 Seats;6499
HSV;1996;Maloo;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Unleaded;196528;Wangara, WA;Oceania;Ute / Tray;2; 2 Doors;3; 3 Seats;39990
Suzuki;1996;Sierra;USED;Manual;4;4 cyl;1.3;1.3 L;4 cyl, 1.3 L;4WD;Unleaded;78881;West Ryde, NSW;Asia;SUV;2; 2 Doors;4; 4 Seats;26888
